fecha_publicacion,fecha_larga,agno,nivel,entidad,seccion,titulo,subtitulo,descripcion,presupuesto,num_beneficiarios,link_publicacion
21/09/2020,Lunes 21 de Septiembre del 2020  ,2020,Alcaldía,Venustiano Carranza,Salud,Servicios de salud y medicamento VC,Respaldo VC Otorga Servicios de Atención a la Salud y Medicamento,Se otorgarán servicios de salud básicos a los habitandes de la demarcación .,3480000,20000,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/e436fbd155dccd9eca9c73cf6834c6fd.pdf
22/09/2020,Martes 22 de Septiembre del 2020  ,2020,Alcaldía,Magdalena Contreras,Cultura,Cultura cívica y sanitaria comunitaria,Por una Cultura Cívica y Sanitaria en Comunidad,Otorgar transferencias monetarias a 114 faciliitadores de servicios para impulsar la participación de la comunidad en temas de cultura cívica y de salud.,2700000,114,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/05d4f794bd3524d6983eb4c704c0fd52.pdf
23/09/2020,Miércoles 23 de Septiembre del 2020  ,2020,Alcaldía,Azcapotzalco,Salud,Subsidio ILE emergencia sanitaria COVID,"Subsidio para la interrupción legal del embarazo durante la emergencia sanitaria por Covid 19 Azcapo te Acompaña",Se otorgará de manera gratuita el servicio de interrupción Legal del Embarazo a 27 mujeres habitantes de la demarcación Azcapotzalco,50000,27,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/70dbb432c7c8e532630f93b901b48f70.pdf
23/09/2020,Miércoles 23 de Septiembre del 2020  ,2020,Central,Fideicomiso Público Educación Garantizada,Educación,Apoyo escolar a familias por COVID,Apoyo a las familias de las alumnas y los alumnos inscritos en el Ciclo Escolar 2019-2020 en escuelas públicas de la Ciudad de México ante la Contingencia Sanitaria por la pandemia SARS-CoV2 (COVID-19).,"Se otorgó un apoyo económico de $1,500 pesos en tres ministraciones durante los meses de abril, mayo y junio a los alumnos inscritos en escuelas públicas de nivel básico de la Ciudad de México en el Ciclo Escolar 2019-2020(preescolar, primaria, secundaria, Centros de Atención Múltiple de nivel preescolar,primaria, secundaria y laboral así como el nivel preescolar de los Centros Comunitarios Públicos)",1844651000,1229767,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/e1913490653458aadb0551bbb9cac74d.pdf
23/09/2020,Miércoles 23 de Septiembre del 2020  ,2020,Alcaldía,Magdalena Contreras,Económico,Regulariza tu negocio,Regulariza tu negocio,Se realizarán hasta 200 transferencias monetarias a establecimientos mercantiles para poder consolidar el proceso de regularización dentro de la demarcación,1180000,200,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/e1913490653458aadb0551bbb9cac74d.pdf
24/09/2020,Jueves 24 de Septiembre del 2020  ,2020,Alcaldía,Milpa Alta,Agropecuario,Misión fortalecimiento agropecuario local,Misión Fortalecimiento Agropecuario,"Se otorgarán transferencias monetarias y en especie a 6,136 productoras y productores a través de tres lineas de acción : Apoyo a Forrajes, Apoyo a Huertos de Traspatio y Apoyo con Paquetes de Especies Menores.",7800000,6136,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/0924e62e723ce8826875a18cf184ae88.pdf
25/09/2020,Viernes 25 de Septiembre del 2020  ,2020,Alcaldía,Azcapotzalco,Económico,Apoyo a trabajadoras sexuales emergente,Apoyo Emergente a Personas Trabajadoras Sexuales #TrabajoSexualenLibertad,Otorgar transferencias monetarias a 100 personas trabajadoras sexuales que radiquen y/o ejerzan el trabajo sexual dentro de la demarcación territorial de Azcapotzalco.,200000,100,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/da477d6f516209588a397072f0115c4d.pdf
25/09/2020,Viernes 25 de Septiembre del 2020  ,2020,Alcaldía,Azcapotzalco,Salud,Promoción derechos sexuales en Azcapo,"Promoción de los Derechos Sexuales y Reproductivos, #Niviolencianiembarazoenazcapo",Se otorgarán servicios para la colocación de métodos anticonceptivos de largo plazo y la realización de anticonceptivos permanentes como es la vasectomia.,75000,150,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/da477d6f516209588a397072f0115c4d.pdf
25/09/2020,Viernes 25 de Septiembre del 2020  ,2020,Alcaldía,Tlalpan,Clima,Apoyo emergencia familias en Topilejo,Apoyos de emergencia a familias de San Miguel Topilejo afectadas por las lluvias de agosto,Se otorgarán 76 transferencias monetarias a personas afectadas or kas kkyevuas en el Pueblo de San Miguel Topliejo.,760000,76,http://www.tlalpan.cdmx.gob.mx/documentos/acciones-sociales/apoyos-emergencia-lluvias-san-miguel-topilejo.pdf
28/09/2020,Lunes 28 de Septiembre del 2020  ,2020,Alcaldía,Benito Juárez,Empleo,Ingreso básico a personas desempleadas,Ingreso Básico para Personas Desempleadas,Se otorgarán 975 transferencias monetarias a personas que perdieron su empleo durante la pandemia en la demarcación,9750000,975,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/cbb2ea3ccb90ba871c89c0c4e51c0ed9.pdf
